No,날짜,카테고리,제목,원문텍스트,텍스트_정제,형태소,시기구분,추천수
1,2026-04-14,기숙사/주거,기숙사 앞 조용히좀 하세요,"몇시간동안 떠드시는데 소리 다 들려요
제발 조용히좀 하세요",기숙사 앞 조용히좀 하세요 몇시간동안 떠드시는데 소리 다 들려요 제발 조용히좀 하세요,기숙사 조용하다 동안 떠들다 소리 제발 조용하다,시험기간,2
2,2026-04-11,기숙사/주거,기숙사 앞 조용히 좀 해라,"미래관이랑 진리관 사이에 흡연 구역에서 떠드는 남녀 무리애들아
기숙사까지 다 들린다 제발,,,
술먹고 떠드는지는 몰라도 좀 조용히하고 놀아라
지들이 시끄러운지도 모르는건지 머리에 개념이 없네",기숙사 앞 조용히 좀 해라 기숙사이랑 기숙사 사이에 흡연 구역에서 떠드는 남녀 무리애들아 기숙사까지 다 들린다 제발 술먹고 떠드는지는 몰라도 좀 조용히하고 놀아라 지들이 시끄러운지도 모르는건지 머리에 개념이 없네,기숙사 조용하다 기숙사 기숙사 사이 흡연 구역 떠들다 남녀 무리 기숙사 들리다 제발 떠들다 조용하다 놀다 지다 들이다 시끄럽다 건지다 머리 개념,시험기간,1
3,2026-04-09,기숙사/주거,기숙사,"정의관 4층 너무 시끄럽다..피해 좀 주지마..

",기숙사 기숙사 4층 너무 시끄럽다 피해 좀 주지마,기숙사 기숙사 시끄럽다 피해,시험기간,0
4,2026-04-02,기숙사/주거,기숙사 이거 맞냐?,버섯이 자꾸 자란다 ㅅㅂ,기숙사 이거 맞냐 버섯이 자꾸 자란다 시발,기숙사 버섯 자꾸 자라다 시발,시험기간,18
5,2026-03-18,기숙사/주거,기숙사 통금 없애면 안되나,이때쯤에 통금때매 술 취한 사람들 오는 소리 존나 시끄러울때 많은데,기숙사 통금 없애면 안되나 이때쯤에 통금때매 술 취한 사람들 오는 소리 존나 시끄러울때 많은데,기숙사 통금 없애다 통금 때매 취한 소리 존나 시끄럽다 많다,평소,0
6,2026-03-13,기숙사/주거,"좀 닥쳐라, 이 정신머리 없는 것들아
","지금 새벽 1시 다 되가고 자는 사람도 많은데
기숙사 앞에서 뭐하는 짓거리들이야",좀 닥쳐라 이 정신머리 없는 것들아 지금 새벽 1시 다 되가고 자는 사람도 많은데 기숙사 앞에서 뭐하는 짓거리들이야,닥치다 정신 머리 지금 새벽 많다 기숙사 짓거리,평소,0
7,2026-03-13,기숙사/주거,"기숙사 늦은 시간은 배려좀 하지
","존나 쿵쾅거리고 문 쌔게 처 닫지좀 마샘 씨발아

",기숙사 늦은 시간은 배려좀 하지 존나 쿵쾅거리고 문 쌔게 처 닫지좀 마샘 씨발아,기숙사 늦다 배려 존나 쿵쾅거리다 닫다 마샘 씨발,평소,0
8,2026-03-12,기숙사/주거,기숙사 복도에 우산좀 처 펼쳐놓지맙시다,"애새끼도 아니고 이기적이게 왜 그런 행동을 하는거에요

",기숙사 복도에 우산좀 처 펼쳐놓지맙시다 애새끼도 아니고 이기적이게 왜 그런 행동을 하는거에요,기숙사 복도 우산 펼치다 맙시 새끼 기적 그렇다 행동,평소,0
9,2026-03-10,기숙사/주거,미래관에서 지금 위쪽 기숙사로 걸어가는 남자무리 못배운티좀 내지마라,자정에 소리지르고 지랄을한다 진짜,기숙사에서 지금 위쪽 기숙사로 걸어가는 남자무리 못배운티좀 내지마라 자정에 소리지르고 지랄을한다 진짜,기숙사 지금 위쪽 기숙사 걸어가다 남자 무리 배우다 티좀 자정 소리 지르다 지랄,평소,0
10,2025-12-18,기숙사/주거,문좀살살닫아요,기숙사문이요... 가치사는공간이잖아요 ㅅㅂ,문좀살살닫아요 기숙사문이요 가치사는공간이잖아요 시발,살살 닫다 기숙사 이요 가치 공간 잖다 시발,시험기간,0
11,2025-11-22,기숙사/주거,기숙사 난방,기숙사 미래관 히터 문제없이 되나요?? 오늘 안켜지는데 저희방만 이러는걸까요..ㅠㅠ,기숙사 난방 기숙사 기숙사 히터 문제없이 되나요 오늘 안켜지는데 저희방만 이러는걸까요,기숙사 난방 기숙사 기숙사 히터 오늘 켜지다 방만 이르다 끄다,평소,0
12,2025-11-20,기숙사/주거,미래관 난방 들어오는거 맞아?,여자 기숙사 왜이렇게 추워ㅠㅠ,기숙사 난방 들어오는거 맞아 여자 기숙사 왜이렇게 추워,기숙사 난방 들어오다 여자 기숙사 춥다,평소,0
13,2025-10-31,기숙사/주거,조용히좀해,기숙사들어오는사람들 조용히좀해,조용히좀해 기숙사들어오는사람들 조용히좀해,조용하다 좋다 기숙사 들어오다 조용하다 좋다,시험기간,1
14,2025-10-21,기숙사/주거,기숙사 소음,"원래 밤에 이렇게 소음이 심한가?
뭐 전투기 지나가는 소리처럼 우우우웅 거림
긱사 방 바닥 울리는데",기숙사 소음 원래 밤에 이렇게 소음이 심한가 뭐 전투기 지나가는 소리처럼 우우우웅 거림 기숙사 방 바닥 울리는데,기숙사 소음 원래 소음 심하다 전투기 지나가다 소리 거림 기숙사 바닥 울리다,시험기간,0
15,2025-10-11,기숙사/주거,"ㅆl벌 기숙사 에어컨좀
","ㅈㄴ짜증나네 진짜
사생회 개꿀이네 하는것도 없으면서 돈 따박따박",ㅆl벌 기숙사 에어컨좀 존나짜증나네 진짜 사생회 개꿀이네 하는것도 없으면서 돈 따박따박,기숙사 에어컨 존나 짜증나다 생회 개꿀 따다 따다,시험기간,8
16,2025-10-13,기숙사/주거,"기숙사 에어컨 오후 말고 잘때 틀어주세요
","밖보다 안이 더운데 하루종일 창문 열어도 습하고 시원해지지도 않고 더워서 잠을 못 자겠어요

",기숙사 에어컨 오후 말고 잘때 틀어주세요 밖보다 안이 더운데 하루종일 창문 열어도 습하고 시원해지지도 않고 더워서 잠을 못 자겠어요,기숙사 에어컨 오후 틀어주다 안이 덥다 하루 종일 창문 어도 습하다 시원하다 덥다,시험기간,4
17,2025-09-29,기숙사/주거,"뭔 이 작은 캠퍼스에 기숙사에 에어컨
","들어갈 돈이 얼마나있다고

그 비싼 등록금 받아처먹으면서

에어컨을 처 통제하냐 존나 더운데 ㅅㅂ
",뭔 이 작은 캠퍼스에 기숙사에 에어컨 들어갈 돈이 얼마나있다고 그 비싼 등록금 받아처먹으면서 에어컨을 처 통제하냐 존나 더운데 시발,작다 기숙사 에어컨 들어가다 얼마나 비싸다 등록금 에어컨 통제 존나 덥다 시발,평소,59
18,2025-09-24,기숙사/주거,"기숙사 와이파이 나만 안됨..?
","빡치네.. 수리해주세요에 문의해봐야하나..

",기숙사 와이파이 나만 안됨 빡치네 수리해주세요에 문의해봐야하나,기숙사 와이파이 빡치다 수리 문의,평소,0
19,2025-09-23,기숙사/주거,기숙사 ㅈ같아서 내년부턴 자취한다,"ㅅㅂ 뭔 와이파이가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가

",기숙사 ㅈ같아서 내년부턴 자취한다 시발 뭔 와이파이가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가 됐다가안됐다가,기숙사 내년 자취 시발 와이파이,평소,5
20,2025-09-03,기숙사/주거,기숙사 와이파이 속도 원래 40임?,"진짜 왤캐 느려 . 원래 이럼?

",기숙사 와이파이 속도 원래 40임 진짜 왤캐 느려 원래 이럼,기숙사 와이파이 속도 원래 왤다 느리다 원래 이렇다,평소,0
21,2025-06-15,기숙사/주거,"기숙사 벌레
","이거 뭔 벌레인가요
아까부터 진짜 ㅈㄴ 많이 나오는데 잡아도 잡아도 계속 나오는데

",기숙사 벌레 이거 뭔 벌레인가요 아까부터 진짜 존나 많이 나오는데 잡아도 잡아도 계속 나오는데,기숙사 벌레 벌레 아깝다 존나 잡다 잡다 계속,시험기간,0
22,2025-06-09,기숙사/주거,"기숙사에서 날벌레
","내 방만 ㅈㄴ 나옴?

",기숙사에서 날벌레 내 방만 존나 나옴,기숙사 벌레 방만 존나,시험기간,0
23,2025-06-05,기숙사/주거,암만 그렇다지만 기숙사 너무 더러운것같아요,"배수구 물이 막혀서 안내려가길래
그냥 며칠 머리카락 쌓인 줄 알고 열어봤는데
며칠은 무슨...몇년을 묵어서 빠지지도 않는 머리카락이 한가득
냄새나고...벌레 시체도 있고
기분이 너무 그렇네요
세면대에는 누런 얼룩이랑 녹에
공용시설 세면대 물은 내려가지도 않고
바닥은 닦고 닦아도 지저분하고",암만 그렇다지만 기숙사 너무 더러운것같아요 배수구 물이 막혀서 안내려가길래 그냥 며칠 머리카락 쌓인 줄 알고 열어봤는데 며칠은 무슨 몇년을 묵어서 빠지지도 않는 머리카락이 한가득 냄새나고 벌레 시체도 있고 기분이 너무 그렇네요 세면대에는 누런 얼룩이랑 녹에 공용시설 세면대 물은 내려가지도 않고 바닥은 닦고 닦아도 지저분하고,암만 그렇다 기숙사 더럽다 수구 물이 막히다 내려가다 며칠 머리카락 쌓이다 열다 며칠 무슨 묵다 빠지다 머리카락 냄새 벌레 시체 기분 그렇다 세면대 누런 얼룩 공용 시설 세면대 내려가다 바닥 닦다 닦다 지저분하다,시험기간,1
24,2025-05-27,기숙사/주거,호연학사 기숙사 필터샤워기‼️극혐 주의‼️,"정의관 샤워하려는데 필터 샤워기가 이렇게 돼서
너무 놀랐습니다. 지금은 온수도 제대로 안 나옵니다.
원래 이 정도는 아니었는데 수질 상황이 너무 심각합니다.

호연학사 논란 많은데
수질문제도 이제는 정말 개선이 시급해 보입니다.",기숙사 기숙사 필터샤워기 극혐 주의 기숙사 샤워하려는데 필터 샤워기가 이렇게 돼서 너무 놀랐습니다 지금은 온수도 제대로 안 나옵니다 원래 이 정도는 아니었는데 수질 상황이 너무 심각합니다 기숙사 논란 많은데 수질문제도 이제는 정말 개선이 시급해 보입니다,기숙사 기숙사 필터 샤워 극혐 주의 기숙사 샤워 필터 샤워 놀라다 지금 온수 제대로 원래 정도 수질 상황 심각하다 기숙사 논란 많다 질문 제도 개선 시급하다 보이다,평소,49
25,2025-05-20,기숙사/주거,"에어컨 좀 쳐 틀어라 ㅅㅂ
","쪄죽으란거임?
강의실 기숙사 다 이러면 어쩌라는거지",에어컨 좀 쳐 틀어라 시발 쪄죽으란거임 강의실 기숙사 다 이러면 어쩌라는거지,에어컨 틀다 시발 찌다 죽다 거임 강의실 기숙사 이르다 어쩌 거지,평소,0
26,2025-05-18,기숙사/주거,"에어컨좀 작작꺼 제발좀
","진짜 다벗어도 더운데 굳이 모든세대를 잠궈야하냐? 심지어 25도로 온도제한둬서 켜도 킨거같지도않고 4개월도 안되는기간 130만원 냈으면 에어컨은 좀 틀게 해줘야지 8시에 강제셧다운 진짜 매번 사람미치게 만드네. 댓글에 자취드립치지마라 어차피 나중에 나갈거고 지금은 기숙사 쓰는데 어쩌라고 저 돈에 전기세 포함이면 강제로 셧다운은 미친거다

",에어컨좀 작작꺼 제발좀 진짜 다벗어도 더운데 굳이 모든세대를 잠궈야하냐 심지어 25도로 온도제한둬서 켜도 킨거같지도않고 4개월도 안되는기간 130만원 냈으면 에어컨은 좀 틀게 해줘야지 8시에 강제셧다운 진짜 매번 사람미치게 만드네 댓글에 자취드립치지마라 어차피 나중에 나갈거고 지금은 기숙사 쓰는데 어쩌라고 저 돈에 전기세 포함이면 강제로 셧다운은 미친거다,에어컨 작작 제발 벗다 덥다 굳이 세대 잠그다 야하다 심지어 도로 온도 켜다 킨거 개월 기간 에어컨 강제 셧다운 매번 미치다 만드 댓글 자취 드리다 어차피 나중 나가다 지금 기숙사 기세 포함 이면 강제 셧다운 미치다,평소,0
27,2025-04-24,기숙사/주거,"학술 에어컨 틀어줌?? 기숙사 개덥네 ㄹㅇㅠ
",ㅈㄱㄴ,학술 에어컨 틀어줌 기숙사 개덥네 레알ㅠ ㅈㄱㄴ,학술정보원 에어컨 틀어주다 기숙사 덥다 레알,시험기간,0
28,2025-04-23,기숙사/주거,"기숙사 에어컨 언제부터 틀어지나요?
","ㅈㄱㄴ
개더워;;

",기숙사 에어컨 언제부터 틀어지나요 ㅈㄱㄴ 개더워,기숙사 에어컨 언제 틀어지다 개다,시험기간,0
29,2025-04-22,기숙사/주거,"기숙사 복도에 우산좀 안내놓으면 안되냐?
","나가려고 문열었는데 우리방 거 아닌 우산이 바로 앞에 있어서 문 맞고 튕겨나가더라
통행 방해 안되게 곱게 놓든가 집어넣든가 해라 좀...

",기숙사 복도에 우산좀 안내놓으면 안되냐 나가려고 문열었는데 우리방 거 아닌 우산이 바로 앞에 있어서 문 맞고 튕겨나가더라 통행 방해 안되게 곱게 놓든가 집어넣든가 해라 좀,기숙사 복도 우산 내놓다 나가다 열다 우산 바로 튕겨 나가다 통행 방해 놓다 집어넣다,시험기간,0
30,2026-04-08,기숙사/주거,"미래관 앞 ㅂㅅ들 개시끄럽네
",진짜 죽어라 3시에 왜 ㅈㄹ이냐고 공부도 못하는것들이 새벽에 우르르 몰려다니고 걍 어디 쳐 들어가라,기숙사 앞 병신들 개시끄럽네 진짜 죽어라 3시에 왜 지랄이냐고 공부도 못하는것들이 새벽에 우르르 몰려다니고 걍 어디 쳐 들어가라,기숙사 병신 시끄럽다 죽다 지랄 공부 들이다 새벽 우르르 몰리다 들어가다,시험기간,0
31,2026-04-10,기숙사/주거,미래관,"코끼리 사냐? 이 시간엔 조용히 좀 해라 몇번째냐 지금

",기숙사 코끼리 사냐 이 시간엔 조용히 좀 해라 몇번째냐 지금,기숙사 코끼리 사다 조용하다 몇번 지금,시험기간,1
32,2026-03-30,기숙사/주거,세탁,"미래관 세탁 다했으면 제발 좀 가져가라 ㅅㅂ

",세탁 기숙사 세탁 다했으면 제발 좀 가져가라 시발,세탁 기숙사 세탁 제발 가져가다 시발,평소,0
33,2026-03-23,기숙사/주거,"미래관 여자 6층 적당히하셈좀
","누가 이 시간에 쾅쾅 뛰냐 진짜 자다가 깜짝 놀라서 깼잖아
괴물 소리 좀 그만 내

",기숙사 여자 6층 적당히하셈좀 누가 이 시간에 쾅쾅 뛰냐 진짜 자다가 깜짝 놀라서 깼잖아 괴물 소리 좀 그만 내,기숙사 여자 적당하다 누가 뛰다 깜짝 놀라다 깨다 괴물 소리,평소,1
34,2026-03-13,기숙사/주거,"미래관 앞에 시끄러워요
","지금 자는 사람도 있는데 조용히 얘기해주세요

",기숙사 앞에 시끄러워요 지금 자는 사람도 있는데 조용히 얘기해주세요,기숙사 시끄럽다 지금 조용하다,평소,0
35,2026-03-12,기숙사/주거,"미래관 5층
","그만 뛰어라 미쳤냐 진짜

",기숙사 5층 그만 뛰어라 미쳤냐 진짜,기숙사 뛰다 미치다,평소,0
36,2026-04-09,기숙사/주거,"진리관 미친것
","아들아너네벌레안나오냐? 개나옴미친 귀꾸라미도처나오고지네도처나옴

",기숙사 미친것 아들아너네벌레안나오냐 개나옴미친 귀꾸라미도처나오고지네도처나옴,기숙사 미치다 아들 벌레 미치다 꾸다 라미 도처 도처,시험기간,7
37,2026-04-07,기숙사/주거,"나 진리관인데 인터넷 안되냐?
","전화할때마다 가끔씩 첫번째 전화하면 그냥 끊기고 두번째 전화걸면 인터넷 연결 없어지다가 서비스 사용불가 지역 뜬다음 끊기고 세번째서야 전화되는데 찾아봐도 사례가 없음;;;

",나 기숙사인데 인터넷 안되냐 전화할때마다 가끔씩 첫번째 전화하면 그냥 끊기고 두번째 전화걸면 인터넷 연결 없어지다가 서비스 사용불가 지역 뜬다음 끊기고 세번째서야 전화되는데 찾아봐도 사례가 없음,기숙사 인터넷 전화하다 가끔 전화하다 끊기다 두번째 전화 걸다 인터넷 연결 없어지다 서비스 사용 불가 지역 뜨다 끊기다 세번 째다 전화 찾아보다 사례,시험기간,1
38,2026-04-01,기숙사/주거,진리관 5층,"조용히 좀 해주세요..
10시부터 시끄럽던데,, 지금은 12시 넘었잖아요
서로 지킬 건 지키고 살아요",기숙사 5층 조용히 좀 해주세요 10시부터 시끄럽던데 지금은 12시 넘었잖아요 서로 지킬 건 지키고 살아요,기숙사 조용하다 시끄럽다 지금 넘다 서로 지키다 지키다,시험기간,0
39,2026-03-26,기숙사/주거,진리관 여 8층,"제발 그만 좀 쿵쿵거려주세요... ㅈㅂ....;;;
진짜 밤에도 쿵쿵대고 룸메끼리 이 정도면 침대에서 떨어진거 아니냐고도 말 나와요;;; 실내용 신발이라도 신을 생각을 안 하시는 건가요",기숙사 여 8층 제발 그만 좀 쿵쿵거려주세요 제발 진짜 밤에도 쿵쿵대고 룸메끼리 이 정도면 침대에서 떨어진거 아니냐고도 말 나와요 실내용 신발이라도 신을 생각을 안 하시는 건가요,기숙사 제발 거려 줄다 제발 대고 룸메 끼리 정도 침대 떨어지다 내용 신발,평소,0
40,2025-10-17,기숙사/주거,진리관2층,"개념없는 여성분들
시끄러워요💕",기숙사2층 개념없는 여성분들 시끄러워요,기숙사 개념 여성 시끄럽다,시험기간,1
41,2026-04-08,기숙사/주거,"정의관 복도
","제발 조용히 좀 해주세요....여기 방음 하나도 안되는거 다 아시지 않나요 제발 복도에서 떠들지좀말아주세요

",기숙사 복도 제발 조용히 좀 해주세요 여기 방음 하나도 안되는거 다 아시지 않나요 제발 복도에서 떠들지좀말아주세요,기숙사 복도 제발 조용하다 방음 아시 제발 복도 떠들다 좋다,시험기간,0
42,2026-04-08,기숙사/주거,"정의관 소음
","아니 1시 넘었으면 조용히 좀 합시다. 1시 때도 시끄러웠는데 뭔 아직도 시끄럽나요;; 자지는 않아도 조용히 다녀주세요.

",기숙사 소음 아니 1시 넘었으면 조용히 좀 합시다 1시 때도 시끄러웠는데 뭔 아직도 시끄럽나요 자지는 않아도 조용히 다녀주세요,기숙사 소음 넘다 조용하다 시끄럽다 시끄럽다 자지 조용하다 다니다,시험기간,0
43,2026-03-13,기숙사/주거,"정의관 앞 너무 시끄러움
","제발 조용히 좀 해주세요 ㅠㅠ

",기숙사 앞 너무 시끄러움 제발 조용히 좀 해주세요,기숙사 시끄럽다 제발 조용하다,평소,0
44,2026-03-08,기숙사/주거,"정의관 제발 세탁기좀 비워
","다 썼으면 좀 비워
그래야 다음 사람 쓸거 아니냐고

",기숙사 제발 세탁기좀 비워 다 썼으면 좀 비워 그래야 다음 사람 쓸거 아니냐고,기숙사 제발 세탁기 비우다 써다 비우다 래야 다음 쓸다,평소,0
45,2025-11-19,기숙사/주거,"정의관 3층
","정의관 3층 뛰어다니면서 소리 지르는거 멈추세요
시끄럽습니다",기숙사 3층 기숙사 3층 뛰어다니면서 소리 지르는거 멈추세요 시끄럽습니다,기숙사 기숙사 뛰어다니다 소리 지르다 멈추다 시끄럽다,평소,0
46,2026-04-14,기숙사/주거,"자유관 벌레
","ㅅㅂㅅㅂㅅㅂㅅㅂㅅㅂㅅㅅㅂㅅㅂㅅㅂㅅㅅㅂㅅㅂㅅㅂㅅㅂㅅㅂㅅㅂㅅㅂㅅㅂㅅㅂㅅㅂㅅㅂㅅㅂㅅㅂㅅㅂㅅ

",기숙사 벌레 시발시발시발시발시발ㅅ시발시발시발ㅅ시발시발시발시발시발시발시발시발시발시발시발시발시발시발ㅅ,기숙사 벌레 시발 시발 시발 시발 시발 시발 시발 시발 시발 시발 시발 시발 시발 시발 시발 시발 시발 시발 시발 시발 시발 시발,시험기간,4
47,2026-04-13,기숙사/주거,"자유관 노래부르는 씨발롬아
","너 재능없으니까 좀 적당히 해라 아침6시부터 노래를 쳐부르고있네

",기숙사 노래부르는 씨발롬아 너 재능없으니까 좀 적당히 해라 아침6시부터 노래를 쳐부르고있네,기숙사 노래 부르다 씨발롬 재능 적당하다 아침 노래 부르다,시험기간,0
48,2026-03-21,기숙사/주거,"아 자유관 씨발
","와이파이 왜 안됨? 개좆같네

",아 기숙사 씨발 와이파이 왜 안됨 개좆같네,기숙사 씨발 와이파이 개좆,평소,1
49,2026-03-18,기숙사/주거,"자유관
","싼마이로 사는거 아는데 이건좀 심한거 아닌가 정수기 고장나, 엘리베이터도 없어, 배에 기름 많이 낀거 자랑하는지 팬티만 입고다녀, 스캔하는 기계도 고장나, 건조기는 3대가 다야. 내가 낸돈은 어디에 쓰는거지..?

",기숙사 싼마이로 사는거 아는데 이건좀 심한거 아닌가 정수기 고장나 엘리베이터도 없어 배에 기름 많이 낀거 자랑하는지 팬티만 입고다녀 스캔하는 기계도 고장나 건조기는 3대가 다야 내가 낸돈은 어디에 쓰는거지,기숙사 싼마이 이건 심하다 정수기 고장 엘리베이터 기름 끼다 자랑 팬티 입다 다니다 스캔 기계 고장 건조기 대가 다야,평소,0
50,2026-03-06,기숙사/주거,"자유관 의자 시발아
","이거 사람이 앉으라고 만든거 맞냐??
내 살다살다 아파서 못 앉는 의자는 첨보네
낮에는 햇빛도 잘 안들어와서 무슨 감방생활하는 것 같네 ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",기숙사 의자 시발아 이거 사람이 앉으라고 만든거 맞냐 내 살다살다 아파서 못 앉는 의자는 첨보네 낮에는 햇빛도 잘 안들어와서 무슨 감방생활하는 것 같네 시발,기숙사 의자 시발 앉다 아프다 앉다 의자 햇빛 들어오다 무슨 감방 생활 시발,평소,0
51,2026-04-06,시설/환경,진짜 답답하다,"원래 에타에 글 안쓰는데, 너무 답답해서 글 씁니다. 전 문과생이어서 공정대랑 석경에서 수업을 주로 듣는데 와이파이 안되는 것도 너무 화가 나는데 데이터까지 안터지는 건 요즘 세상에 말이 되는지 모르겠네요",진짜 답답하다 원래 에타에 글 안쓰는데 너무 답답해서 글 씁니다 전 문과생이어서 공공정책대학랑 석원경상관에서 수업을 주로 듣는데 와이파이 안되는 것도 너무 화가 나는데 데이터까지 안터지는 건 요즘 세상에 말이 되는지 모르겠네요,답답하다 원래 에타 답답하다 문과 공공정책대학 상관 수업 주로 듣다 와이파이 화가 데이터 터지다 요즘 세상,시험기간,83
52,2026-04-10,시설/환경,"흡연자는 도서관 
출입 금지했으면 합니다. ",공부도 안하면서 도서관 자리나 차지하고 담배 피러 1시간마다 나가는 심보는 도대체 뭔가요? ,흡연자는 학술정보원 출입 금지했으면 합니다 공부도 안하면서 학술정보원 자리나 차지하고 담배 피러 1시간마다 나가는 심보는 도대체 뭔가요,흡연 학술정보원 출입 금지 공부 학술정보원 자리 차지 담배 피다 나가다 심보 도대체 뭔가,시험기간,78
53,2026-04-09,시설/환경,"그대들이 진정 지성인인가?
","산학협력관 1층
와서 니가 핀거 주워가라",그대들이 진정 지성인인가 산학협력관 1층 와서 니가 핀거 주워가라,그대 진정 지성인 산학 협력 피다 줍다,시험기간,62
54,2026-04-07,시설/환경,"학교가 그냥 ㅂㅅ임
","돈 빨아먹을라고 한국어 자체를 1도 못해서 강의실에서 게임이나 쳐하고 큰목소리로 떠드는 중국인들이나 수백 명씩 뽑아제끼더니(심지어 증원하는 추세임) 학교 와이파이 하나 관리를 못함???? 와이파이 상태가 ㅈ같으면 데이터라도 잘 터지던지 내가 여기보다 더한 판자집에 농사짓는 찐 시골 갔을 때도 5G로 잘터졌는데 이럴거면 교명에 세종캠은 왜 단거임? 그냥 조치원**읍**캠퍼스로 개명하셈

그리고 시바꺼 미래관 자판기 음료 대체 언제 채워줌????

돈받고 학위장사를 할거면 투자라도 제대로 하던가

장난하나 진짜",학교가 그냥 병신임 돈 빨아먹을라고 한국어 자체를 1도 못해서 강의실에서 게임이나 쳐하고 큰목소리로 떠드는 중국인들이나 수백 명씩 뽑아제끼더니 심지어 증원하는 추세임 학교 와이파이 하나 관리를 못함 와이파이 상태가 ㅈ같으면 데이터라도 잘 터지던지 내가 여기보다 더한 판자집에 농사짓는 찐 시골 갔을 때도 5G로 잘터졌는데 이럴거면 교명에 세종캠은 왜 단거임 그냥 조치원 읍 캠퍼스로 개명하셈 그리고 시바꺼 기숙사 자판기 음료 대체 언제 채워줌 돈받고 학위장사를 할거면 투자라도 제대로 하던가 장난하나 진짜,병신임 한국어 자체 강의실 게임 크다 목소리 떠들다 중국인 수백 뽑다 끼다 심지어 증원 추세 와이파이 관리 와이파이 상태 데이터 터지다 더하다 판자집 농사짓다 찌다 시골 터지다 이렇다 교명 달다 조치원 개명 시바 기숙사 자판기 음료 대체 언제 채우다 학위 장사 투자 제대로 장난,시험기간,51
55,2026-04-07,시설/환경,"학생회장 일해라
","학교 데이터 와이파이 좀 해결해라 짜증나니까 등록금 개처올리고는 와이파이도 안돼 데이터도 안돼 뭐 수업을 어떻게 들으라는거냐 이럴 때 대표로 건의해서 학생들 불편한 거 해결하는 게 할 일 아니냐 일 좀 하자

",학생회장 일해라 학교 데이터 와이파이 좀 해결해라 짜증나니까 등록금 개처올리고는 와이파이도 안돼 데이터도 안돼 뭐 수업을 어떻게 들으라는거냐 이럴 때 대표로 건의해서 학생들 불편한 거 해결하는 게 할 일 아니냐 일 좀 하자,학생회장 일해 데이터 와이파이 해결 짜증나다 등록금 개처 올리다 와이파이 데이터 수업 이렇다 대표 건의 학생 불편하다 해결 하자,시험기간,24
56,2026-04-05,시설/환경,"학술 근로들은 들어라
","어플 고쳐달라고 교직원들한테 얘기좀
그리고 열람실 전등 꺼지거나 깜빡거리는거 개많은데 제때 좀 갈아달라고도 말해줘라
작년 기말고사 기간때도 꺼져있던걸 이번 중간 다 될 때까지 안고치는게 말이 되냐",학술 근로들은 들어라 어플 고쳐달라고 교직원들한테 얘기좀 그리고 열람실 전등 꺼지거나 깜빡거리는거 개많은데 제때 좀 갈아달라고도 말해줘라 작년 기말고사 기간때도 꺼져있던걸 이번 중간 다 될 때까지 안고치는게 말이 되냐,학술정보원 근로 어플 고치다 달라 교직원 열람 전등 꺼지다 깜빡 거리 많다 제때 달다 작년 기말고사 기간 꺼지다 이번 중간 안다,시험기간,13
57,2026-02-26,시설/환경,"에어컨좀 틀어줘시발
",.,에어컨좀 틀어줘시발,에어컨 틀어주다 시발,평소,28
58,2026-04-11,시설/환경,"진짜 학교는 등록금 받아서 어따 쓰냐??
","공용 컴퓨터도 철거해 3층의 열람실도 밤10시에 땡쳐 건물안에 와이파이는 커녕 데이터도 안터져 하다못해 지거국만 가봐도 최소한의 인프라는 보장되어있는데 ㅋㅋㅋㅋㅋㅋ

",진짜 학교는 등록금 받아서 어따 쓰냐 공용 컴퓨터도 철거해 3층의 열람실도 밤10시에 땡쳐 건물안에 와이파이는 커녕 데이터도 안터져 하다못해 지거국만 가봐도 최소한의 인프라는 보장되어있는데,등록금 공용 컴퓨터 철거 열람 건물 와이파이 커녕 데이터 터지다 지거국 가보다 최소한 인프라 보장 되어다,시험기간,3
