No,날짜,카테고리,제목,원문텍스트,텍스트_정제,형태소,시기구분,추천수
1900-10-01 00:00:00,2024-02-01,학사/행정,교수학습정보센터,"진심…일처리 왜 이렇게 느려..?
성적이 올라 진짜.. 별다른 말도 없고 OT 동영상 출석 가지고 어그로도 겁나 끌고… 끝난 지가 언젠데 아직까지 이래?
가뜩이나 일처리 느린데 이러다 장학금 3월에 받겠다^^",교수학습정보센터 진심 일처리 왜 이렇게 느려 성적이 올라 진짜 별다른 말도 없고 OT 동영상 출석 가지고 어그로도 겁나 끌고 끝난 지가 언젠데 아직까지 이래 가뜩이나 일처리 느린데 이러다 장학금 3월에 받겠다,교수 학습 정보 센터 진심 느리다 성적 오르다 별다르다 동영상 출석 가지 어그 겁나다 끝나다 지다 젠데 이렇다 가뜩이나 느리다 이르다 장학금,평소,0
1900-10-02 00:00:00,2024-01-31,학사/행정,교양교육원 일처리,1월 첫째주 지급으로 지연되서 양해 부탁드린다던 장학금은 1월31일에 재무팀으로 넘어갔으니 손가락이나 빨면서 기다리라네 죄송한 척은 바라지도 않아 오히려 화 내는 말투 ㅋㅋㅋㅋㅋ,교양교육원 일처리 1월 첫째주 지급으로 지연되서 양해 부탁드린다던 장학금은 1월31일에 재무팀으로 넘어갔으니 손가락이나 빨면서 기다리라네 죄송한 척은 바라지도 않아 오히려 화 내는 말투 ㅋ,교양 교육 지급 지연 양해 부탁드리다 장학금 재무 넘어가다 손가락 빨다 기다리다 죄송하다 바라지 오히려 말투,평소,0
1900-10-03 00:00:00,2024-01-30,학사/행정,교수학습정보센터 왜이리 맘에 안들지,"메일이 왔는데 빨리 제출해야 하니까 내일까지 회신해달래
자기들이 일처리 뒤지게 늦게 해놓고 왜 우리한테 닦달임",교수학습정보센터 왜이리 맘에 안들지 메일이 왔는데 빨리 제출해야 하니까 내일까지 회신해달래 자기들이 일처리 뒤지게 늦게 해놓고 왜 우리한테 닦달임,교수 학습 정보 센터 메일 제출 내일 회신 해달 자기 뒤지다 늦다 닦달,평소,1900
1900-10-04 00:00:00,2023-12-29,학사/행정,아 언제 뜨냐고ㅗ오오오ㅓ악,매번 일처리 이따구로 하는거도 능력이다 진짜 하.....,아 언제 뜨냐고ㅗ오오오ㅓ악 매번 일처리 이따구로 하는거도 능력이다 진짜 하,언제 뜨다 오오오 매번 이따 구로 능력,평소,0
1900-10-05 00:00:00,2023-12-29,학사/행정,하 일처리 진짜 여전하네,"안전교육도 진작에 해놨는데
성적 제 시간에 뜬적이 한번이 없냐",하 일처리 진짜 여전하네 안전교육도 진작에 해놨는데 성적 제 시간에 뜬적이 한번이 없냐,여전하다 안전교육 진작 성적 뜨다 한번,평소,1900
1900-10-06 00:00:00,2023-09-25,학사/행정,총학이 일처리를 저렇게 하는동안,"고리타는 대체 어디서 무엇을 하고 있었나?

해명과 진정성있는 사과를 요구한다",총학생회이 일처리를 저렇게 하는동안 고리타는 대체 어디서 무엇을 하고 있었나 해명과 진정성있는 사과를 요구한다,총학생회 동안 고리타 대체 무엇 해명 진정 사과 요구,평소,1900
1900-10-07 00:00:00,2023-06-30,학사/행정,아니,아 성적확인 아직도 못함 학교에 전화해도 그냥 기다리라고만 하고 일처리 군대보다 못하네,아니 아 성적확인 아직도 못함 학교에 전화해도 그냥 기다리라고만 하고 일처리 군대보다 못하네,성적 확인 전화하다 기다리다 군대,평소,0
1900-10-08 00:00:00,2023-06-24,학사/행정,"놀랍게도 총학의 공약은 ""공정""이었음","총학생회라는 타이틀 답게 당연히 ""공정""해야 했던거를

작년 총학 감사 했다는거에 묻어가면서
공정을 공약 타이틀로 내새워 놓고서는
한거라고는 공정한 척도 못하니
감사원장 일때는 일처리 ㅈㄴ 잘하더니
총학생회로 자리 앉으니까 완장만 차고 일은 개 못하고
공정 키워드는 개나 줘버리고 풉",놀랍게도 총학생회의 공약은 공정 이었음 총학생회생회라는 타이틀 답게 당연히 공정 해야 했던거를 작년 총학생회 감사 했다는거에 묻어가면서 공정을 공약 타이틀로 내새워 놓고서는 한거라고는 공정한 척도 못하니 감사원장 일때는 일처리 존나 잘하더니 총학생회생회로 자리 앉으니까 완장만 차고 일은 개 못하고 공정 키워드는 개나 줘버리고 풉,놀라다 총학생회 공약 공정 총학생회 생회 타이틀 당연하다 공정 작년 총학생회 감사 묻다 공정 공약 타이틀 놓다 공정하다 척도 감사원장 존나 총학생회 생회 자리 앉다 완장 차고 공정 키우다 버리다 푸다,평소,1900
1900-10-09 00:00:00,2023-06-07,학사/행정,아니 투표했는데 왜 자꾸 문자오냐,일처리 진짜…,아니 투표했는데 왜 자꾸 문자오냐 일처리 진짜,투표 자꾸 문자 오냐,시험기간,0
1900-10-10 00:00:00,2026-02-27,학사/행정,이공계 기초과목 온라인강좌,"교수학습정보센터(CTL)에서 진행하는 [이공계 기초과목 온라인강좌] 결과발표 관련하여 문의했었습니다. 2/23에 곧 결과가 발표될거라는 답변을 받은 이후로도 소식이 없어 전화로 다시 문의해보니

'담당자 교체되고 학생들이 제출한 보고서를 모으는게 힘들어지면서 형평성 이슈로 공모전 자체가 무효처리가 됐다'는 답변을 받았습니다.

이공계 기초과목 온라인강좌 참여하셨던 분들 과목에 관계없이 쪽지 부탁드립니다. 참여자분들끼리 단톡방 파서 어떻게 된건지 제대로 문의해봐야할 것 같습니다.",이공계 기초과목 온라인강좌 교수학습정보센터 CTL 에서 진행하는 이공계 기초과목 온라인강좌 결과발표 관련하여 문의했었습니다 2 23에 곧 결과가 발표될거라는 답변을 받은 이후로도 소식이 없어 전화로 다시 문의해보니 담당자 교체되고 학생들이 제출한 보고서를 모으는게 힘들어지면서 형평성 이슈로 공모전 자체가 무효처리가 됐다 는 답변을 받았습니다 이공계 기초과목 온라인강좌 참여하셨던 분들 과목에 관계없이 쪽지 부탁드립니다 참여자분들끼리 단톡방 파서 어떻게 된건지 제대로 문의해봐야할 것 같습니다,이공 기초 과목 온라인강좌 교수 학습 정보 센터 진행 이공 기초 과목 온라인강좌 결과 발표 관련 문의 결과 발표 답변 이후 소식 전화 문의 담당자 교체 학생 제출 보고서 모으다 힘들다 형평성 이슈 공모전 자체 무효 늘다 답변 이공 기초 과목 온라인강좌 참여 과목 쪽지 부탁드리다 참여자 끼리 톡방 파서 건지다 제대로 문의 야하다,평소,1900
